Nr [15][7];Kommunenavn;Admsenter;Fylke;Fulltadmsenter;lat;lng
3434;Lom;Fossbergom;Innlandet;Fossbergom, Lom, Innlandet;61.83780729999999;8.5685637
3437;Sel;Otta;Innlandet;Otta, Sel, Innlandet;61.77324040000001;9.5389584
3424;Rendalen;Bergset;Innlandet;Bergset, Rendalen, Innlandet;61.4654725;11.3414611
4650;Gloppen;Sandane;Vestland;Sandane, Gloppen, Vestland;61.77644600000001;6.216160599999999
4602;Kinn;Florø;Vestland;Florø, Kinn, Vestland;61.59961910000001;5.0346663
3436;Nord-Fron;Vinstra;Innlandet;Vinstra, Nord-Fron, Innlandet;61.59243439999999;9.756695599999999
3423;Stor-Elvdal;Koppang;Innlandet;Koppang, Stor-Elvdal, Innlandet;61.5706544;11.055484
3439;Ringebu;Vålebrua;Innlandet;Vålebrua, Ringebu, Innlandet;61.5291322;10.1458343
3438;Sør-Fron;Hundorp;Innlandet;Hundorp, Sør-Fron, Innlandet;61.55522300000001;9.9407864
4647;Sunnfjord;Førde;Vestland;Førde, Sunnfjord, Vestland;61.45357920000001;5.8496685
4644;Luster;Gaupne;Vestland;Gaupne, Luster, Vestland;61.40830760000001;7.2855965
4645;Askvoll;Askvoll;Vestland;Askvoll, Askvoll, Vestland;61.3467485;5.062018999999999
3421;Trysil;Innbygda;Innlandet;Innbygda, Trysil, Innlandet;61.31483170000001;12.2636944
1845;Sørfold;Straumen;Nordland;Straumen, Sørfold, Nordland;67.3480505;15.597305
4643;Årdal;Årdalstangen;Vestland;Årdalstangen, Årdal, Vestland;61.239558;7.7121033
3441;Gausdal;Segalstad bru;Innlandet;Segalstad bru, Gausdal, Innlandet;61.22675169999999;10.2288915
3440;Øyer;Tingberg;Innlandet;Tingberg, Øyer, Innlandet;61.2631681;10.4165372
4640;Sogndal;Sogndalsfjøra;Vestland;Sogndalsfjøra, Sogndal, Vestland;61.2272256;7.0992124
3422;Åmot;Rena;Innlandet;Rena, Åmot, Innlandet;61.1313062;11.366369
3453;Øystre Slidre;Heggenes;Innlandet;Heggenes, Øystre Slidre, Innlandet;61.1438322;9.0694182
3454;Vang;Vang;Innlandet;Vang, Vang, Innlandet;61.1250695;8.569766
4637;Hyllestad;Hyllestad;Vestland;Hyllestad, Hyllestad, Vestland;61.1711685;5.296168
4638;Høyanger;Høyanger;Vestland;Høyanger, Høyanger, Vestland;61.2200648;6.0757442
3405;Lillehammer;Lillehammer;Innlandet;Lillehammer, Lillehammer, Innlandet;61.1152713;10.4662306
4642;Lærdal;Lærdalsøyri;Vestland;Lærdalsøyri, Lærdal, Vestland;61.09865490000001;7.4815786
4636;Solund;Hardbakke;Vestland;Hardbakke, Solund, Vestland;61.0740153;4.840370099999999
4639;Vik;Vikøyri;Vestland;Vikøyri, Vik, Vestland;61.0884893;6.580473899999999
3452;Vestre Slidre;Slidre;Innlandet;Slidre, Vestre Slidre, Innlandet;61.08809559999999;8.9817451
3450;Etnedal;Bruflat;Innlandet;Bruflat, Etnedal, Innlandet;60.8877572;9.6397173
3411;Ringsaker;Brumunddal;Innlandet;Brumunddal, Ringsaker, Innlandet;60.88520010000001;10.9436044
4635;Gulen;Eivindvik;Vestland;Eivindvik, Gulen, Vestland;60.9815455;5.0711678
3451;Nord-Aurdal;Fagernes;Innlandet;Fagernes, Nord-Aurdal, Innlandet;60.9858348;9.232359899999999
3448;Nordre Land;Dokka;Innlandet;Dokka, Nordre Land, Innlandet;60.8382077;10.0650422
3420;Elverum;Elverum;Innlandet;Elverum, Elverum, Innlandet;60.88207250000001;11.5624678
4641;Aurland;Aurlandsvangen;Vestland;Aurlandsvangen, Aurland, Vestland;60.90713849999999;7.188547999999999
3326;Hemsedal;Trøim;Buskerud;Trøim, Hemsedal, Buskerud;60.86306479999999;8.552375999999999
3412;Løten;Løten;Innlandet;Løten, Løten, Innlandet;60.81957019999999;11.342102
4634;Masfjorden;Masfjordnes;Vestland;Masfjordnes, Masfjorden, Vestland;60.79446040000001;5.297197199999999
4629;Modalen;Mo;Vestland;Mo, Modalen, Vestland;60.8161648;5.805797
3407;Gjøvik;Gjøvik;Innlandet;Gjøvik, Gjøvik, Innlandet;60.7954302;10.6916303
3403;Hamar;Hamar;Innlandet;Hamar, Hamar, Innlandet;60.7945331;11.0679977
4632;Austrheim;Årås;Vestland;Årås, Austrheim, Vestland;60.77731009999999;4.9329065
4633;Fedje;Fedje;Vestland;Fedje, Fedje, Vestland;60.7788987;4.714893099999999
3324;Gol;Gol;Buskerud;Gol, Gol, Buskerud;60.7015342;8.945296400000002
3449;Sør-Aurdal;Bagn;Innlandet;Bagn, Sør-Aurdal, Innlandet;60.8224904;9.552072299999999
3419;Våler;Våler;Innlandet;Våler, Våler, Innlandet;60.67116559999999;11.8346464
3413;Stange;Stange;Innlandet;Stange, Stange, Innlandet;60.717457;11.1935903
3447;Søndre Land;Hov;Innlandet;Hov, Søndre Land, Innlandet;60.6987031;10.3519345
3443;Vestre Toten;Raufoss;Innlandet;Raufoss, Vestre Toten, Innlandet;60.7293838;10.616415
3328;Ål;Ål;Buskerud;Ål, Ål, Buskerud;60.63023870000001;8.5606663
4621;Voss;Vossevangen;Vestland;Vossevangen, Voss, Vestland;60.6295624;6.422151200000001
3442;Østre Toten;Lena;Innlandet;Lena, Østre Toten, Innlandet;60.6739876;10.8134211
4631;Alver;Knarvik;Vestland;Knarvik, Alver, Vestland;60.54539149999999;5.2822469
3418;Åsnes;Flisa;Innlandet;Flisa, Åsnes, Innlandet;60.6131699;12.0107576
5053;Inderøy;Straumen;Trøndelag;Straumen, Inderøy, Trøndelag;63.8762472;11.2931414
4620;Ulvik;Ulvik;Vestland;Ulvik, Ulvik, Vestland;60.5692306;6.916875099999999
3322;Nesbyen;Nesbyen;Buskerud;Nesbyen, Nesbyen, Buskerud;60.5680861;9.1027428
3330;Hol;Hol;Buskerud;Hol, Hol, Buskerud;60.6152252;8.294020999999999
4630;Osterøy;Lonevåg;Vestland;Lonevåg, Osterøy, Vestland;60.5261874;5.493676199999999
3417;Grue;Kirkenær;Innlandet;Kirkenær, Grue, Innlandet;60.4577642;12.0604581
4627;Askøy;Kleppestø;Vestland;Kleppestø, Askøy, Vestland;60.41071830000001;5.2258428
3242;Hurdal;Hurdal;Akershus;Hurdal, Hurdal, Akershus;60.43588799999999;11.0661291
4619;Eidfjord;Eidfjord;Vestland;Eidfjord, Eidfjord, Vestland;60.466629;7.0685183
1812;Sømna;Vik;Nordland;Vik, Sømna, Nordland;65.30919430000002;12.1672573
